name,name_en,amenity,building,operator_t,capacity_p,addr_full,addr_city,source,osm_id,osm_type,longitude,latitude
GCDSS GOMBE STATE,,school,,,,,,,11151673606,nodes,11.1815632,10.3008064
f c e (T) administrative block,,school,,,,,,,11148409405,nodes,11.1483333,10.3148383
Gombe state university src park,,school,,,,,,,11148260505,nodes,11.1749566,10.3067981
Faculty of law gombe state university,,school,,,,,,,11148228005,nodes,11.1728395,10.3074299
Faculty of law Gombe state university,,school,,,,,,,11148228105,nodes,11.1728395,10.3075166
,,school,,,,,,,11335647869,nodes,11.1738787,10.3079969
Model Primary School Tudunsaibu,,school,,government,,,Kaduna,GNS,501525384,nodes,12.533333,9.1
School for Arqabic and Islamic Studies,,school,,,,,,,10302653113,nodes,12.4877952,9.2066747
Hammawa Primary School,,school,,,,,,,10302584686,nodes,12.4864514,9.2067581
Adamawa Agricultural Development Program,,school,,,,,,,10302651984,nodes,12.4876115,9.2077721
,,school,,,,,,nigeriase4all.gov.ng,10173511145,nodes,10.403709,12.6312113
,,school,,,,,,nigeriase4all.gov.ng,10173511162,nodes,10.4035622,12.6306593
,,school,,,,,,nigeriase4all.gov.ng,10173511165,nodes,10.4016402,12.6325435
Senete chamber Gombe state University,,school,,,,,,,11227184737,nodes,11.172811,10.3032487
kwadon primary school,,school,,,,,,,11225448142,nodes,11.2869887,10.2763107
Government day senior secondary school herwagana,,school,,,,,,,11225303837,nodes,11.1769632,10.2846031
madarasatul Alaramma malan gambo littah fizzul Quran,,school,,,,,,,11225843737,nodes,11.1585283,10.2889848
science 2,,school,,,,,,,11225818938,nodes,11.1561736,10.2881572
lecture theatre B,,school,,,,,,,11224620638,nodes,11.1755722,10.3052343
ETF-CERC GOMBE Admin block comprence room 2,,school,,,,,,,11212317038,nodes,11.1601498,10.3035436
Geology Visiting lecturers Office,,school,,,,,,,11224637937,nodes,11.175387,10.3048491
lecture theatre A,,school,,,,,,,11224637938,nodes,11.1757338,10.3052008
male Rest Room,,school,,,,,,,11224653238,nodes,11.1754084,10.3059392
Jauro Tudun Wada Primary School,,school,,government,,,,,12462985092,nodes,11.1710844,10.3004571
,,kindergarten,,,,,,nigeriase4all.gov.ng,10101405753,nodes,10.2288528,9.53348
,,kindergarten,,,,,,nigeriase4all.gov.ng,10091971679,nodes,10.112936,9.5038692
,,school,,,,,,nigeriase4all.gov.ng,10101405743,nodes,10.2290636,9.5334988
,,school,,,,,,nigeriase4all.gov.ng,10101405764,nodes,10.2288923,9.5335953
,,school,,,,,,nigeriase4all.gov.ng,10091990378,nodes,10.2203946,9.4660033
,,school,,,,,,nigeriase4all.gov.ng,10091989431,nodes,10.1705885,9.4825819
,,school,,,,,,nigeriase4all.gov.ng,10091994686,nodes,10.0951509,9.4990272
,,school,,,,,,nigeriase4all.gov.ng,10091994692,nodes,10.0916929,9.4956127
,,school,,,,,,nigeriase4all.gov.ng,10091990541,nodes,10.1006492,9.4782416
,,school,,,,,,nigeriase4all.gov.ng,10091989301,nodes,10.2203079,9.4677078
,,school,,,,,,nigeriase4all.gov.ng,10091989449,nodes,10.1707703,9.4826477
,,school,,,,,,nigeriase4all.gov.ng,10091994707,nodes,10.0959968,9.4976349
,,school,,,,,,nigeriase4all.gov.ng,10091994708,nodes,10.0999274,9.4999314
,,school,,,,,,nigeriase4all.gov.ng,10091990295,nodes,10.1448777,9.4878266
,,school,,,,,,nigeriase4all.gov.ng,10092015330,nodes,10.3168818,9.5005632
,,school,,,,,,nigeriase4all.gov.ng,10076617571,nodes,10.4832927,12.6335338
,,school,,,,,,nigeriase4all.gov.ng,9888520205,nodes,10.5063293,12.6965822
,,school,,,,,,nigeriase4all.gov.ng,9888515209,nodes,10.544636,12.7216548
,,school,,,,,,nigeriase4all.gov.ng,9888551521,nodes,10.5459748,12.7206571
,,school,,,,,,nigeriase4all.gov.ng,9896944861,nodes,10.1623716,11.0754872
,,school,,,,,,nigeriase4all.gov.ng,9896944881,nodes,10.1627218,11.0725402
,,school,,,,,,nigeriase4all.gov.ng,9896944896,nodes,10.1646655,11.0736143
,,school,,,,,,nigeriase4all.gov.ng,9888563980,nodes,10.0035113,12.9015419
,,school,,,,,,nigeriase4all.gov.ng,9888563982,nodes,10.0039625,12.902932
Cross Kauwa Primary School,,school,,,,,Cross Kauwa,,13476535039,nodes,13.6756669,12.9407991
